name,price
Computer Set - E-QUIP 26026 (R5 5500 | RAM16GB/3200 | SSD 500GB | RTX 5050 8GB),21290
Computer Set - E-QUIP 26027 (R5 5600 | RAM32GB/3200 | SSD 500GB | RTX 5060 8GB),29690
Computer Set - E-QUIP 26028 (R5 5600 | RAM32GB/3200 | SSD 500GB | RTX 5060 Ti 8GB),33590
Computer Set - E-QUIP 26029 (R5 7500F | RAM32GB/5600 | SSD 1TB | RTX 5060 8GB),42290
Computer Set - E-QUIP 26030 (R5 7500F | RAM32GB/5600 | SSD 1TB | RX 9060XT 8GB),42990
Computer Set - E-QUIP 26031 (R5 7500F | RAM32GB/5600 | SSD 1TB | RTX 5060 Ti 8GB),44290
Computer Set - E-QUIP 26038 (i5-12400 | RAM32GB/3200 | SSD 500GB | RTX 5050 8GB),28990
Computer Set - E-QUIP 26039 (i5-12400 | RAM32GB/3200 | SSD 500GB | RTX 5060 8GB),32290
Computer Set - E-QUIP 26040 (i5-12400 | RAM32GB/3200 | SSD 500GB | RTX 5060 Ti 8GB),34990
Computer Set - E-QUIP 26041 (i5-14400F | RAM32GB/5600 | SSD 1TB | RTX 5050 8GB),38590
Computer Set - E-QUIP 26042 (i5-14400F | RAM32GB/5600 | SSD 1TB | RX 9060 XT 8GB),40590
Computer Set - E-QUIP 26043 (i5-14400F | RAM32GB/5600 | SSD 1TB | RTX 5060 8GB),42290
Computer Set - E-QUIP 26044 (i5-14400F | RAM32GB/5600 | SSD 1TB | RTX 5070 12GB),60990
Computer Set - E-QUIP 26045 (i7-14700 | RAM32GB/5600 | SSD 1TB | RX 9070 16GB),65990
Computer Set - E-QUIP 26046 (U5-225F | RAM32GB/5600 | SSD 1TB | RTX 5060 8GB),43590
Computer Set - E-QUIP 26047 (U5-225F | RAM32GB/5600 | SSD 1TB | RTX 5060 Ti 8GB),48990
